snippet_id,persona,wcag_criterion,expected,repetition,tool_name,iteration,elapsed_seconds,output_size_bytes,output_truncated,error
62673162e22ee1e95e962522b1d1c3b549dbfc49,ade,2.1.1,failed,2,validate_target_size,2,5.328,195,False,
62673162e22ee1e95e962522b1d1c3b549dbfc49,ade,2.1.1,failed,2,check_timing_and_timeouts,2,5.549,276,False,
62673162e22ee1e95e962522b1d1c3b549dbfc49,ade,2.1.1,failed,2,validate_form_errors_and_labels,2,5.444,130,False,
033e04cced5973596d9aa724feacb027d23b4c53,ade,2.1.1,inapplicable,0,check_keyboard_navigation,1,1.439,1462,False,
033e04cced5973596d9aa724feacb027d23b4c53,ade,2.1.1,inapplicable,0,validate_target_size,1,5.654,195,False,
033e04cced5973596d9aa724feacb027d23b4c53,ade,2.1.1,inapplicable,0,check_timing_and_timeouts,1,5.952,276,False,
033e04cced5973596d9aa724feacb027d23b4c53,ade,2.1.1,inapplicable,0,validate_form_errors_and_labels,1,5.561,130,False,
033e04cced5973596d9aa724feacb027d23b4c53,ade,2.1.1,inapplicable,1,check_keyboard_navigation,1,1.372,1462,False,
033e04cced5973596d9aa724feacb027d23b4c53,ade,2.1.1,inapplicable,1,validate_target_size,1,5.41,195,False,
033e04cced5973596d9aa724feacb027d23b4c53,ade,2.1.1,inapplicable,1,check_timing_and_timeouts,1,5.449,276,False,
033e04cced5973596d9aa724feacb027d23b4c53,ade,2.1.1,inapplicable,1,validate_form_errors_and_labels,1,5.506,130,False,
033e04cced5973596d9aa724feacb027d23b4c53,ade,2.1.1,inapplicable,2,check_keyboard_navigation,1,1.371,1462,False,
033e04cced5973596d9aa724feacb027d23b4c53,ade,2.1.1,inapplicable,2,validate_target_size,1,5.441,195,False,
033e04cced5973596d9aa724feacb027d23b4c53,ade,2.1.1,inapplicable,2,check_timing_and_timeouts,1,5.471,276,False,
033e04cced5973596d9aa724feacb027d23b4c53,ade,2.1.1,inapplicable,2,validate_form_errors_and_labels,1,5.399,130,False,
17a371c470316dc29e424101065ebfe9f7b2e990,ade,2.1.1,inapplicable,0,check_keyboard_navigation,1,1.382,1462,False,
17a371c470316dc29e424101065ebfe9f7b2e990,ade,2.1.1,inapplicable,0,validate_target_size,1,5.484,195,False,
17a371c470316dc29e424101065ebfe9f7b2e990,ade,2.1.1,inapplicable,0,check_timing_and_timeouts,1,5.583,276,False,
17a371c470316dc29e424101065ebfe9f7b2e990,ade,2.1.1,inapplicable,0,validate_form_errors_and_labels,1,5.409,130,False,
17a371c470316dc29e424101065ebfe9f7b2e990,ade,2.1.1,inapplicable,1,check_keyboard_navigation,1,1.366,1462,False,
17a371c470316dc29e424101065ebfe9f7b2e990,ade,2.1.1,inapplicable,1,validate_target_size,1,5.392,195,False,
17a371c470316dc29e424101065ebfe9f7b2e990,ade,2.1.1,inapplicable,1,check_timing_and_timeouts,1,5.494,276,False,
17a371c470316dc29e424101065ebfe9f7b2e990,ade,2.1.1,inapplicable,1,validate_form_errors_and_labels,1,5.459,130,False,
17a371c470316dc29e424101065ebfe9f7b2e990,ade,2.1.1,inapplicable,2,check_keyboard_navigation,1,1.34,1462,False,
17a371c470316dc29e424101065ebfe9f7b2e990,ade,2.1.1,inapplicable,2,validate_target_size,1,5.445,195,False,
17a371c470316dc29e424101065ebfe9f7b2e990,ade,2.1.1,inapplicable,2,check_timing_and_timeouts,1,5.434,276,False,
17a371c470316dc29e424101065ebfe9f7b2e990,ade,2.1.1,inapplicable,2,validate_form_errors_and_labels,1,5.463,130,False,
49d79a4e4e4a994a8eb7cf2eaf59c99d2251cac5,ade,2.2.1,passed,0,check_timing_and_timeouts,1,11.164,809,False,
49d79a4e4e4a994a8eb7cf2eaf59c99d2251cac5,ade,2.2.1,passed,1,check_timing_and_timeouts,1,11.217,809,False,
49d79a4e4e4a994a8eb7cf2eaf59c99d2251cac5,ade,2.2.1,passed,2,check_timing_and_timeouts,1,11.443,809,False,
b5ca868de7980f6944142ecdb849f47ad2cdfb5c,ade,2.2.1,passed,0,check_timing_and_timeouts,1,5.597,404,False,
b5ca868de7980f6944142ecdb849f47ad2cdfb5c,ade,2.2.1,passed,1,check_timing_and_timeouts,1,5.538,404,False,
b5ca868de7980f6944142ecdb849f47ad2cdfb5c,ade,2.2.1,passed,2,check_timing_and_timeouts,1,5.524,404,False,
56857820788db21498e95a5cbba65d59a9a2b892,ade,2.2.1,failed,0,check_timing_and_timeouts,1,5.433,385,False,
56857820788db21498e95a5cbba65d59a9a2b892,ade,2.2.1,failed,1,check_timing_and_timeouts,1,5.757,385,False,
56857820788db21498e95a5cbba65d59a9a2b892,ade,2.2.1,failed,2,check_timing_and_timeouts,1,5.796,385,False,
5d4d5b214459c8a0779600ab39a5668003271c62,ade,2.2.1,failed,0,check_timing_and_timeouts,1,5.702,404,False,
5d4d5b214459c8a0779600ab39a5668003271c62,ade,2.2.1,failed,1,check_timing_and_timeouts,1,5.726,404,False,
5d4d5b214459c8a0779600ab39a5668003271c62,ade,2.2.1,failed,2,check_timing_and_timeouts,1,5.772,404,False,
0bf30cdf02ff26dfca5aa705b7023227da221e05,ade,2.2.1,inapplicable,0,check_timing_and_timeouts,1,5.688,401,False,
0bf30cdf02ff26dfca5aa705b7023227da221e05,ade,2.2.1,inapplicable,1,check_timing_and_timeouts,1,5.931,401,False,
